Date,AAPL,AMGN,AMZN,BAC,CSCO,FB,GE,GOOGL,IBM,JNJ,JPM,KO,ORCL,PEP,PG,T,XOM,^GSPC
2014-04-08,16.75336456298828,98.42688751220703,327.07000732421875,14.550018310546875,18.382444381713867,58.189998626708984,21.063247680664062,557.510009765625,145.85435485839844,81.05048370361328,48.46454620361328,31.01396942138672,36.0621223449707,67.99817657470703,65.83052825927734,23.658859252929688,71.63427734375,1851.9599609375
2014-04-09,16.97357177734375,100.11209106445312,331.80999755859375,14.70932674407959,18.526681900024414,62.40999984741211,21.22684669494629,567.0399780273438,148.38221740722656,81.78607940673828,48.8104362487793,31.085729598999023,36.635684967041016,68.35662078857422,65.94380950927734,23.424072265625,71.54605102539062,1872.1800537109375
2014-04-10,16.754648208618164,95.19827270507812,317.1099853515625,14.266809463500977,18.150056838989258,59.15999984741211,20.924192428588867,546.6900024414062,147.65780639648438,79.79412841796875,47.270442962646484,31.006000518798828,35.658836364746094,68.12036895751953,65.6201171875,23.558237075805664,71.14173889160156,1833.0799560546875
2014-04-11,16.630781173706055,93.38788604736328,311.7300109863281,13.957046508789062,17.997802734375,58.529998779296875,20.801496505737305,537.760009765625,147.28805541992188,80.06690216064453,45.54103469848633,30.798707962036133,34.93294143676758,67.73749542236328,65.35308837890625,23.611900329589844,71.09764862060547,1815.68994140625
2014-04-14,16.69704246520996,94.53917694091797,315.9100036621094,14.160604476928711,18.31032371520996,58.88999938964844,21.030529022216797,545.2000122070312,149.23492431640625,80.2900619506836,45.26103210449219,30.878433227539062,35.4616813659668,68.06333923339844,65.3935546875,23.71922492980957,71.9356689453125,1830.6099853515625
2014-04-15,16.57797622680664,95.94075775146484,316.0799865722656,14.505766868591309,18.342376708984375,59.09000015258789,21.120512008666992,548.7000122070312,148.66897583007812,81.99274444580078,45.12926483154297,32.03448486328125,35.605064392089844,68.39734649658203,65.4178237915039,23.933879852294922,72.53840637207031,1842.97998046875
2014-04-16,16.611581802368164,96.39127349853516,323.67999267578125,14.275656700134277,18.454559326171875,59.720001220703125,21.365909576416016,563.9000244140625,148.2010955810547,81.62080383300781,45.50809860229492,32.361366271972656,35.96355056762695,69.05720520019531,66.07330322265625,24.215604782104492,73.46463012695312,1862.31005859375
2014-04-17,16.80137825012207,96.32451629638672,324.9100036621094,14.29336166381836,18.59880256652832,58.939998626708984,21.7258243560791,543.3400268554688,143.37925720214844,81.79437255859375,45.475154876708984,32.46501541137695,35.91874313354492,69.69263458251953,66.16231536865234,24.175369262695312,73.81747436523438,1864.8499755859375
2014-04-21,17.000776290893555,97.6259765625,330.8699951171875,14.240255355834961,18.751049041748047,61.2400016784668,21.750364303588867,539.3699951171875,145.08465576171875,82.65396118164062,45.31867599487305,32.48893356323242,36.0621223449707,69.98590850830078,66.00045776367188,24.188783645629883,74.19234466552734,1871.8900146484375
2014-04-22,17.01774024963379,99.52811431884766,329.32000732421875,14.41726303100586,18.847213745117188,63.029998779296875,21.742183685302734,545.5,144.99411010742188,82.802734375,45.961036682128906,32.45703887939453,36.259281158447266,69.35862731933594,65.74960327148438,24.343063354492188,73.78073120117188,1879.550048828125
2014-04-23,16.795299530029297,94.53917694091797,324.5799865722656,14.488067626953125,18.831186294555664,61.36000061035156,21.611309051513672,537.510009765625,144.6772003173828,82.8357925415039,46.15867614746094,32.47298812866211,35.658836364746094,69.5785903930664,65.5489501953125,23.424072265625,73.87628936767578,1875.3900146484375
2014-04-24,18.17220687866211,94.8729019165039,337.1499938964844,14.46151351928711,18.694961547851562,60.869998931884766,21.64402198791504,534.4400024414062,143.5377655029297,82.62090301513672,46.27397155761719,32.44907760620117,35.62300109863281,69.66820526123047,66.1933364868164,23.142343521118164,73.51610565185547,1878.6099853515625
2014-04-25,18.305675506591797,92.94574737548828,303.8299865722656,14.116353034973145,18.430524826049805,57.709999084472656,21.758543014526367,523.0999755859375,143.0925750732422,82.48040771484375,45.87044143676758,32.69621658325195,35.35414123535156,69.44823455810547,66.4054183959961,23.135639190673828,73.81011199951172,1863.4000244140625
2014-04-28,19.014612197875977,93.00413513183594,296.5799865722656,13.23131275177002,18.446548461914062,56.13999938964844,21.90578269958496,522.97998046875,145.74114990234375,83.76154327392578,45.697505950927734,32.7121696472168,35.96355056762695,70.72722625732422,67.65343475341797,23.531408309936523,74.3687744140625,1869.4300537109375
2014-04-29,18.958288192749023,93.35453796386719,300.3800048828125,13.48797607421875,18.55873680114746,58.150001525878906,21.889419555664062,536.3300170898438,147.2277069091797,83.50532531738281,46.19985580444336,32.34541702270508,35.94563293457031,69.86370849609375,67.24560546875,23.759477615356445,74.5746078491211,1878.3299560546875
2014-04-30,18.88658905029297,93.2293930053711,304.1300048828125,13.399470329284668,18.518672943115234,59.779998779296875,21.995758056640625,534.8800048828125,148.2539825439453,83.72020721435547,46.10102081298828,32.52083206176758,36.635684967041016,69.96961975097656,67.33531188964844,23.94729995727539,75.28030395507812,1883.949951171875
2014-05-01,18.931079864501953,94.07200622558594,307.8900146484375,13.355217933654785,18.438535690307617,61.150001525878906,21.897600173950195,538.530029296875,146.03543090820312,83.0920639038086,45.88691711425781,32.51285171508789,36.716331481933594,69.70891571044922,67.16399383544922,23.866802215576172,74.54521179199219,1883.6800537109375
2014-05-02,18.96628189086914,93.7883529663086,308.010009765625,13.496824264526367,18.382444381713867,60.459999084472656,21.8239803314209,533.8699951171875,144.45835876464844,82.08364868164062,45.771629333496094,32.64839553833008,36.57294845581055,69.66820526123047,66.82142639160156,23.900339126586914,74.98625946044922,1881.1400146484375
2014-05-05,19.234495162963867,94.42239379882812,310.04998779296875,13.3463716506958,18.398466110229492,61.220001220703125,21.742183685302734,535.3300170898438,144.32252502441406,82.65396118164062,44.65161895751953,32.496910095214844,36.93141555786133,69.98590850830078,66.6419677734375,23.98754119873047,75.64784240722656,1884.6600341796875
